Metric,Value
NbSpringXMLFiles,9.0
NbEmptySpringXMLFiles,5.0
NbClasses,43.0
NbFailedClasses,4.0
NbSpecs,4.0
NbCompRoles,78.0
NbConfigs,4.0
NbCompClasses,21.0
NbClassMultiRole,0.0
NbAssms,4.0
NbCompInsts,21.0
NbSpecEqualConfigs,0.0
NbInterfaces,1259.0
NbSplitInterface,0.0
NbAbstractedInterface,0.0
NbConnections,21.0
NbUnconnectedArch,0.0
