Metric,Value
NbSpringXMLFiles,14.0
NbEmptySpringXMLFiles,8.0
NbClasses,4886.0
NbFailedClasses,8.0
NbSpecs,6.0
NbCompRoles,113.0
NbConfigs,6.0
NbCompClasses,32.0
NbClassMultiRole,0.0
NbAssms,6.0
NbCompInsts,32.0
NbSpecEqualConfigs,0.0
NbInterfaces,4656.0
NbSplitInterface,0.0
NbAbstractedInterface,0.0
NbConnections,36.0
NbUnconnectedArch,0.0
