Metric,Value
NbSpringXMLFiles,1.0
NbEmptySpringXMLFiles,0.0
NbClasses,8.0
NbFailedClasses,0.0
NbSpecs,1.0
NbCompRoles,3.0
NbConfigs,1.0
NbCompClasses,3.0
NbClassMultiRole,0.0
NbAssms,1.0
NbCompInsts,4.0
NbSpecEqualConfigs,0.0
NbInterfaces,18.0
NbSplitInterface,0.0
NbAbstractedInterface,2.0
NbConnections,7.0
NbUnconnectedArch,0.0
