Metric,Value
NbSpringXMLFiles,3667.0
NbEmptySpringXMLFiles,1760.0
NbClasses,1761674.0
NbFailedClasses,994.0
NbSpecs,1408.0
NbCompRoles,15490.0
NbConfigs,1907.0
NbCompClasses,6696.0
NbClassMultiRole,289.0
NbAssms,1907.0
NbCompInsts,5333.0
NbSpecEqualConfigs,901.0
NbInterfaces,1421102.0
NbSplitInterface,27.0
NbAbstractedInterface,219.0
NbConnections,5951.0
NbUnconnectedArch,1075.0
