Metric,Value
NbSpringXMLFiles,0
NbEmptySpringXMLFiles,0
NbClasses,0
NbFailedClasses,0
NbSpecs,0
NbCompRoles,0
NbConfigs,0
NbCompClasses,0
NbClassMultiRole,0
NbAssms,0
NbCompInsts,0
NbSpecEqualConfigs,0
NbInterfaces,0
NbSplitInterface,0
NbAbstractedInterface,0
NbConnections,0
NbUnconnectedArch,0
