NbSpringXMLFiles	66
NbEmptySpringXMLFiles	44
NbClasses	9370
NbFailedClasses	4
NbSpecs	22
NbCompRoles	176
NbConfigs	22
NbCompClasses	48
NbClassMultiRole	0
NbAssms	22
NbCompInsts	51
NbSpecEqualConfigs	10
NbInterfaces	7610
NbSplitInterface	0
NbAbstractedInterface	0
NbConnections	0
NbUnconnectedArch	22
